USER_ID,Elapsed,Minute,Second,UserX,UserY,UserZ,SceneRadius,ObjX,ObjY,ObjZ,ObjRadius,VertexDelta,NgonDelta,TriDelta,NormalDelta,ObjMode,EditMode,UV,ObjectDelta,ModifierDelta,CtrlV,ShiftD,AltD,Merge
808fd42c,65.52,1,5.52,8.44,0.17,0.75,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,66.53,1,6.53,8.44,0.17,0.75,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,67.53,1,7.53,8.44,0.17,0.75,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,68.53,1,8.53,8.44,0.17,0.75,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,69.52,1,9.52,4.24,0.11,0.38,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,70.53,1,10.53,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,71.53,1,11.53,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,72.54,1,12.54,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,73.54,1,13.54,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,74.54,1,14.54,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,75.55,1,15.55,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,76.55,1,16.55,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
